mes,anio,mes_anio,colonia,consumo,rezago,total,consec_mes
ago,2012,ago/2012,ACHOTA,20812.6,0,20812.6,201208
ago,2012,ago/2012,BENITO JUAREZ,5079.72,0,5079.72,201208
ago,2012,ago/2012,CAPOMAL,3007.04,0,3007.04,201208
ago,2012,ago/2012,CENTRO,89810.36,0,89810.36,201208
ago,2012,ago/2012,CERRO,18352.76,0,18352.76,201208
ago,2012,ago/2012,EMILIO M. GONZALEZ,1635.6,0,1635.6,201208
ago,2012,ago/2012,GUAYABAL,0,0,0,201208
ago,2012,ago/2012,LA LADRILLERA,1269.96,0,1269.96,201208
ago,2012,ago/2012,LA REDONDA,12839.92,0,12839.92,201208
ago,2012,ago/2012,LINDAVISTA,5272.2,0,5272.2,201208
ago,2012,ago/2012,RASTRO,15443.6,0,15443.6,201208
ago,2012,ago/2012,REY NAYAR,11833.92,0,11833.92,201208
ago,2012,ago/2012,SAN ANTONIO,18842.68,0,18842.68,201208
ago,2012,ago/2012,TALPITA,19896.34,0,19896.34,201208
ago,2012,ago/2012,TIJUANITA,0,0,0,201208
ago,2012,ago/2012,TIRO AL BLANCO,3506.16,0,3506.16,201208
ago,2012,ago/2012,UNIDAD DEPORTIVA,1751.4,0,1751.4,201208
sep,2012,sep/2012,ACHOTA,1775,17401.35,19176.35,201209
sep,2012,sep/2012,BENITO JUAREZ,377,1514,1891,201209
sep,2012,sep/2012,CAPOMAL,187,43,230,201209
sep,2012,sep/2012,CENTRO,5279,15668,20947,201209
sep,2012,sep/2012,CERRO,391,2437,2828,201209
sep,2012,sep/2012,EMILIO M. GONZALEZ,0,0,0,201209
sep,2012,sep/2012,GUAYABAL,58,928,986,201209
sep,2012,sep/2012,LA LADRILLERA,232,2262,2494,201209
sep,2012,sep/2012,LA REDONDA,665,7554,8219,201209
sep,2012,sep/2012,LINDAVISTA,638,3596,4234,201209
sep,2012,sep/2012,RASTRO,1695,2029,3724,201209
sep,2012,sep/2012,REY NAYAR,476,7676.8,8152.8,201209
sep,2012,sep/2012,SAN ANTONIO,2117,16017,18134,201209
sep,2012,sep/2012,TALPITA,580,6362,6942,201209
sep,2012,sep/2012,TIJUANITA,0,0,0,201209
sep,2012,sep/2012,TIRO AL BLANCO,29,203,232,201209
sep,2012,sep/2012,UNIDAD DEPORTIVA,116,3406.4,3522.4,201209
oct,2012,oct/2012,ACHOTA,2051,25747,27798,201210
oct,2012,oct/2012,BENITO JUAREZ,87,58,145,201210
oct,2012,oct/2012,CAPOMAL,86,0,86,201210
oct,2012,oct/2012,CENTRO,2502,19801,22303,201210
oct,2012,oct/2012,CERRO,1633,9573,11206,201210
oct,2012,oct/2012,EMILIO M. GONZALEZ,58,2664,2722,201210
oct,2012,oct/2012,GUAYABAL,0,0,0,201210
oct,2012,oct/2012,LA LADRILLERA,58,2190,2248,201210
oct,2012,oct/2012,LA REDONDA,955,9486,10441,201210
oct,2012,oct/2012,LINDAVISTA,551,6853.5,7404.5,201210
oct,2012,oct/2012,RASTRO,637,6242,6879,201210
oct,2012,oct/2012,REY NAYAR,1723,11759.5,13482.5,201210
oct,2012,oct/2012,SAN ANTONIO,928,8800,9728,201210
oct,2012,oct/2012,TALPITA,999,5810,6809,201210
oct,2012,oct/2012,TIJUANITA,0,0,0,201210
oct,2012,oct/2012,TIRO AL BLANCO,725,4597,5322,201210
oct,2012,oct/2012,UNIDAD DEPORTIVA,406,2990,3396,201210
nov,2012,nov/2012,ACHOTA,1862,17209,19071,201211
nov,2012,nov/2012,BENITO JUAREZ,551,3441,3992,201211
nov,2012,nov/2012,CAPOMAL,290,1392,1682,201211
nov,2012,nov/2012,CENTRO,6061,28431,34492,201211
nov,2012,nov/2012,CERRO,1579,15433,17012,201211
nov,2012,nov/2012,EMILIO M. GONZALEZ,156,468,624,201211
nov,2012,nov/2012,GUAYABAL,58,1334,1392,201211
nov,2012,nov/2012,LA LADRILLERA,215,43,258,201211
nov,2012,nov/2012,LA REDONDA,1347,15384,16731,201211
nov,2012,nov/2012,LINDAVISTA,551,2587.8,3138.8,201211
nov,2012,nov/2012,RASTRO,579,2509,3088,201211
nov,2012,nov/2012,REY NAYAR,983,8417,9400,201211
nov,2012,nov/2012,SAN ANTONIO,1115,8746,9861,201211
nov,2012,nov/2012,TALPITA,693,6327,7020,201211
nov,2012,nov/2012,TIJUANITA,0,0,0,201211
nov,2012,nov/2012,TIRO AL BLANCO,696,2175,2871,201211
nov,2012,nov/2012,UNIDAD DEPORTIVA,551,6865.25,7416.25,201211
dic,2012,dic/2012,ACHOTA,5440,15645,21085,201212
dic,2012,dic/2012,BENITO JUAREZ,678,2958,3636,201212
dic,2012,dic/2012,CAPOMAL,406,2872,3278,201212
dic,2012,dic/2012,CENTRO,29220,45317,74537,201212
dic,2012,dic/2012,CERRO,6665,29554,36219,201212
dic,2012,dic/2012,EMILIO M. GONZALEZ,1258,264,1522,201212
dic,2012,dic/2012,GUAYABAL,0,0,0,201212
dic,2012,dic/2012,LA LADRILLERA,362,4316,4678,201212
dic,2012,dic/2012,LA REDONDA,868,7655,8523,201212
dic,2012,dic/2012,LINDAVISTA,6268,8225,14493,201212
dic,2012,dic/2012,RASTRO,683,4171,4854,201212
dic,2012,dic/2012,REY NAYAR,2844,5094,7938,201212
dic,2012,dic/2012,SAN ANTONIO,1870,5255.5,7125.5,201212
dic,2012,dic/2012,TALPITA,2536,11396.1,13932.1,201212
dic,2012,dic/2012,TIJUANITA,0,0,0,201212
dic,2012,dic/2012,TIRO AL BLANCO,2980,3069,6049,201212
dic,2012,dic/2012,UNIDAD DEPORTIVA,491,1899,2390,201212
ene,2013,ene/2013,ACHOTA,54042.8,21983.6,76026.4,201301
ene,2013,ene/2013,BENITO JUAREZ,7206.6,8003,15209.6,201301
ene,2013,ene/2013,CAPOMAL,9696.6,4376,14072.6,201301
ene,2013,ene/2013,CENTRO,143228.8,42064,185292.8,201301
ene,2013,ene/2013,CERRO,33141,21651,54792,201301
ene,2013,ene/2013,EMILIO M. GONZALEZ,3263.4,174,3437.4,201301
ene,2013,ene/2013,GUAYABAL,803,2262,3065,201301
ene,2013,ene/2013,LA LADRILLERA,1210,3703,4913,201301
ene,2013,ene/2013,LA REDONDA,17503.2,8904,26407.2,201301
ene,2013,ene/2013,LINDAVISTA,10755.8,11553,22308.8,201301
ene,2013,ene/2013,RASTRO,16162.64,7370,23532.64,201301
ene,2013,ene/2013,REY NAYAR,24696.2,17407,42103.2,201301
ene,2013,ene/2013,SAN ANTONIO,34383,18182,52565,201301
